00:00:25.886264 DCon53   Saving settings file "/home/noa/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:25.890367 DCon53   Finished saving settings file "/home/noa/.config/VirtualBox/VirtualBox.xml"
00:00:26.200839 DCon47   Saving settings file "/home/noa/VirtualBox VMs/Winsad/Winsad.vbox" with version "1.19-linux"
00:00:26.205145 DCon47   Finished saving settings file "/home/noa/VirtualBox VMs/Winsad/Winsad.vbox"
00:00:26.264761 DCon55   WARNING [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={d5dcece0-b202-4416-a138-03502784cc07} aComponent={HostWrap} aText={Could not load the Host USB Proxy service: VERR_NOT_FOUND}, preserve=true aResultDetail=0
00:00:26.269303 DCon53   WARNING [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={d5dcece0-b202-4416-a138-03502784cc07} aComponent={HostWrap} aText={Could not load the Host USB Proxy service: VERR_NOT_FOUND}, preserve=true aResultDetail=0
00:00:26.272212 DCon53   WARNING [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={d5dcece0-b202-4416-a138-03502784cc07} aComponent={HostWrap} aText={Could not load the Host USB Proxy service: VERR_NOT_FOUND}, preserve=true aResultDetail=0
00:00:26.277741 DCon53   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={bea3ef5c-de2f-4b74-aa3a-15d6249371a0} aComponent={RecordingSettingsWrap} aText={Recording not started}, preserve=false aResultDetail=0
00:00:26.395009 DCon55   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:00:26.435563 DCon52   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is PoweredOff)}, preserve=false aResultDetail=0
00:00:26.466383 DCon52   WARNING [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={d5dcece0-b202-4416-a138-03502784cc07} aComponent={HostWrap} aText={Could not load the Host USB Proxy service: VERR_NOT_FOUND}, preserve=true aResultDetail=0
00:00:26.468216 DCon52   WARNING [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={d5dcece0-b202-4416-a138-03502784cc07} aComponent={HostWrap} aText={Could not load the Host USB Proxy service: VERR_NOT_FOUND}, preserve=true aResultDetail=0
00:00:26.658480 DCon52   Saving settings file "/home/noa/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:26.662290 DCon52   Finished saving settings file "/home/noa/.config/VirtualBox/VirtualBox.xml"
00:00:27.205627 DCon52   Saving settings file "/home/noa/VirtualBox VMs/Winsad/Winsad.vbox" with version "1.19-linux"
00:00:27.209712 DCon52   Finished saving settings file "/home/noa/VirtualBox VMs/Winsad/Winsad.vbox"
00:00:27.225751 DCon09   WARNING [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={d5dcece0-b202-4416-a138-03502784cc07} aComponent={HostWrap} aText={Could not load the Host USB Proxy service: VERR_NOT_FOUND}, preserve=true aResultDetail=0
